['INFO ]2023-07-27 14:30:15,283(YYYY-MM-ddHH:MM:ss.SSS][main]api.utilities.Loggerload1)-------- get request with endpoint------------------
['INFO ]2023-07-27 14:30:15,523(YYYY-MM-ddHH:MM:ss.SSS][main]api.utilities.Loggerload1)--------------details retrieved by assignment id ------------------
['INFO ]2023-07-27 14:30:15,545(YYYY-MM-ddHH:MM:ss.SSS][main]api.utilities.Loggerload1)-------- put request with endpoint------------------
['INFO ]2023-07-27 14:30:15,615(YYYY-MM-ddHH:MM:ss.SSS][main]api.utilities.Loggerload1)-*********************** put for grade submission student User *************
['INFO ]2023-07-27 14:30:15,857(YYYY-MM-ddHH:MM:ss.SSS][main]api.utilities.Loggerload1)--------status code verified---------------
['INFO ]2023-07-27 14:30:15,858(YYYY-MM-ddHH:MM:ss.SSS][main]api.utilities.Loggerload1)--------content type checked----------
['INFO ]2023-07-27 14:30:15,858(YYYY-MM-ddHH:MM:ss.SSS][main]api.utilities.Loggerload1)--------Transfer-Encoding checked----------
['INFO ]2023-07-27 14:30:15,885(YYYY-MM-ddHH:MM:ss.SSS][main]api.utilities.Loggerload1)-------- get request with endpoint------------------
['INFO ]2023-07-27 14:30:15,887(YYYY-MM-ddHH:MM:ss.SSS][main]api.utilities.Loggerload1)------------- grades by userid-----------
['INFO ]2023-07-27 14:30:16,127(YYYY-MM-ddHH:MM:ss.SSS][main]api.utilities.Loggerload1)--------status code verified---------------
['INFO ]2023-07-27 14:30:16,127(YYYY-MM-ddHH:MM:ss.SSS][main]api.utilities.Loggerload1)--------content type checked----------
['INFO ]2023-07-27 14:30:16,127(YYYY-MM-ddHH:MM:ss.SSS][main]api.utilities.Loggerload1)--------Transfer-Encoding checked----------
['INFO ]2023-07-27 14:30:16,148(YYYY-MM-ddHH:MM:ss.SSS][main]api.utilities.Loggerload1)-------- get request with endpoint------------------
['INFO ]2023-07-27 14:30:16,149(YYYY-MM-ddHH:MM:ss.SSS][main]api.utilities.Loggerload1)------------- grades by batchid-----------
['INFO ]2023-07-27 14:30:16,376(YYYY-MM-ddHH:MM:ss.SSS][main]api.utilities.Loggerload1)--------status code verified---------------
['INFO ]2023-07-27 14:30:16,376(YYYY-MM-ddHH:MM:ss.SSS][main]api.utilities.Loggerload1)--------content type checked----------
['INFO ]2023-07-27 14:30:16,377(YYYY-MM-ddHH:MM:ss.SSS][main]api.utilities.Loggerload1)--------Transfer-Encoding checked----------
['INFO ]2023-07-27 14:30:16,401(YYYY-MM-ddHH:MM:ss.SSS][main]api.utilities.Loggerload1)-------- get request with endpoint------------------
['INFO ]2023-07-27 14:30:16,403(YYYY-MM-ddHH:MM:ss.SSS][main]api.utilities.Loggerload1)------------- grades by submission by userid-----------
['INFO ]2023-07-27 14:30:16,628(YYYY-MM-ddHH:MM:ss.SSS][main]api.utilities.Loggerload1)--------status code verified---------------
['INFO ]2023-07-27 14:30:16,629(YYYY-MM-ddHH:MM:ss.SSS][main]api.utilities.Loggerload1)--------content type checked----------
['INFO ]2023-07-27 14:30:16,629(YYYY-MM-ddHH:MM:ss.SSS][main]api.utilities.Loggerload1)--------Transfer-Encoding checked----------
